Date,Open,High,Low,Close,Adj Close,Volume
27-01-2023,53.75,54.349998,50.049999,50.799999,50.15255,111244364
30-01-2023,51.099998,53.25,49.099998,50.700001,50.053825,148179904
31-01-2023,51,54,50.549999,53.549999,52.8675,114490184
01-02-2023,54.25,54.400002,48.299999,50.299999,49.65892,159606635
02-02-2023,50,52.25,48.599998,50.799999,50.15255,121217105
03-02-2023,51.25,52.299999,49.200001,51.799999,51.139805,114130816
06-02-2023,51.900002,52.299999,51.099998,51.400002,50.744904,57728571
07-02-2023,51.549999,52.099998,50.700001,51.299999,50.646175,54786770
08-02-2023,51.650002,52,51.150002,51.599998,50.942352,43092026
09-02-2023,51.549999,51.549999,50.349998,51,50.350002,48710526
10-02-2023,50.799999,52.650002,50.549999,51.25,50.596813,56528450
13-02-2023,51.400002,51.599998,49.799999,50.200001,49.560196,53678758
14-02-2023,50.400002,51.150002,49.5,50.799999,50.15255,44481427
15-02-2023,50.450001,51.049999,50.25,50.900002,50.251278,26711967
16-02-2023,50.950001,51.25,50.400002,50.799999,50.15255,25514798
17-02-2023,50.549999,50.549999,49.5,49.700001,49.06657,37386646
20-02-2023,49.75,50.5,49.299999,49.5,48.869118,52556924
21-02-2023,49.700001,50,48.799999,49.049999,48.424854,51854291
22-02-2023,48.75,48.849998,47.5,47.799999,47.190784,50161602
23-02-2023,48,48.599998,47.25,48.25,47.635048,59329147
24-02-2023,48.599998,49.150002,47.349998,47.549999,46.94397,43992957
27-02-2023,47.5,48.299999,47.200001,48.099998,47.486961,60479465
28-02-2023,48.25,48.599998,47.650002,48.349998,47.733772,45553040
01-03-2023,48.349998,50.950001,48.200001,50.150002,49.510834,54733648
02-03-2023,50.150002,50.25,49.400002,49.75,49.115932,39689768
03-03-2023,50.150002,51.900002,50.150002,51.799999,51.139805,75460112
06-03-2023,52.049999,52.450001,51.150002,51.299999,50.646175,47324177
08-03-2023,51,51.650002,50.650002,51.5,50.843628,37125655
09-03-2023,51.5,51.75,50.700001,50.900002,50.251278,26784782
10-03-2023,50.450001,50.450001,49.349998,49.900002,49.264023,32660079
13-03-2023,49.900002,50.25,48,48.150002,47.536327,44252288
14-03-2023,48.200001,48.849998,47.599998,48.150002,47.536327,57868867
15-03-2023,48.849998,49.049999,47.400002,47.700001,47.09206,39104721
16-03-2023,47.700001,48.450001,46.799999,48,47.388237,56323397
17-03-2023,48.5,48.75,47.5,47.950001,47.338875,43994185
20-03-2023,47.849998,48,46.099998,47,46.400982,51001675
21-03-2023,47.400002,48.049999,46.849998,47.75,47.141422,40735601
22-03-2023,47.950001,48.349998,47.700001,47.849998,47.240147,28630222
23-03-2023,47.650002,47.900002,46.700001,46.849998,46.252892,30619961
24-03-2023,47,47.150002,45.099998,45.5,44.920097,41476341
27-03-2023,45.5,46,45,45.549999,44.96946,42307425
28-03-2023,45.549999,45.75,44.400002,44.900002,44.327747,38272734
29-03-2023,44.900002,46.650002,44.599998,46.299999,45.709904,49229088
31-03-2023,46.700001,47.049999,46.5,46.599998,46.006077,32435561
03-04-2023,46.849998,47.450001,46.599998,47.349998,46.746517,20028650
05-04-2023,47.349998,47.450001,46.450001,46.700001,46.104805,24882531
06-04-2023,46.700001,47.799999,46.450001,47.200001,46.598434,33990957
10-04-2023,47.200001,47.450001,46.799999,47.049999,46.450344,20735073
11-04-2023,47.650002,48.099998,47.150002,47.25,46.647797,36635159
12-04-2023,47.549999,47.549999,46.900002,47.049999,46.450344,24089807
13-04-2023,47.099998,47.950001,46.799999,47.75,47.141422,32614533
17-04-2023,47.650002,48.950001,47.349998,48.799999,48.17804,45304745
18-04-2023,48.849998,49.5,48.599998,49.099998,48.474216,35880230
19-04-2023,49,49.650002,48.400002,48.549999,47.931225,30538280
20-04-2023,48.599998,48.849998,48.299999,48.599998,47.980587,23270861
21-04-2023,48.5,48.599998,47.799999,48.25,47.635048,20293450
24-04-2023,48.5,49.349998,48.25,49.25,48.622303,31327255
25-04-2023,49.5,50.099998,49.299999,49.799999,49.165295,31449334
26-04-2023,49.700001,50.5,49.299999,50.25,49.609558,30000936
27-04-2023,50.25,50.549999,50,50.400002,49.757648,27678355
28-04-2023,50.599998,52.5,50.5,52.25,51.584068,58579598
02-05-2023,52.549999,53.099998,52.400002,52.75,52.077698,31570025
03-05-2023,51.950001,52.950001,51.799999,52.549999,51.880245,30999962
04-05-2023,52.75,53.5,52.5,53.349998,52.670048,31540665
05-05-2023,53.349998,53.849998,52.200001,52.349998,51.682793,41383424
08-05-2023,51.5,52.700001,50.599998,52.099998,51.435978,64119087
09-05-2023,52.450001,52.549999,50.049999,50.25,49.609558,51516931
10-05-2023,49.650002,50,47.900002,48.5,47.881863,94616408
11-05-2023,48.799999,49.25,48.400002,48.5,47.881863,44557782
12-05-2023,48.5,48.799999,48.049999,48.549999,47.931225,20165979
15-05-2023,48.5,49.099998,48.25,48.950001,48.32613,22303027
16-05-2023,49.299999,49.849998,48.799999,49,48.375492,34288935
17-05-2023,49.150002,49.5,48.5,49.299999,48.671665,31020370
18-05-2023,49.599998,49.700001,48.349998,48.450001,47.8325,32314683
19-05-2023,48.849998,49.599998,48.349998,49.25,48.622303,46965076
22-05-2023,49.849998,50.75,49.700001,50.549999,49.905735,59690876
23-05-2023,50.75,50.950001,50.299999,50.599998,49.955097,30905073
24-05-2023,50.25,50.799999,49.799999,49.900002,49.264023,25931404
25-05-2023,50.049999,50.049999,49.349998,49.650002,49.017208,27256728
26-05-2023,49.75,50.5,49.700001,50.349998,49.708282,24170849
29-05-2023,50.650002,51.349998,50.299999,50.799999,50.15255,33668195
30-05-2023,50.799999,51.549999,50.650002,51.450001,50.794266,31271579
31-05-2023,51.400002,51.950001,50.900002,51.849998,51.189167,36101259
01-06-2023,51.849998,52.25,51.549999,51.700001,51.04108,29135650
02-06-2023,51.799999,52.5,51.799999,52.299999,51.63343,25135897
05-06-2023,52.549999,52.799999,52,52.150002,51.485344,19034598
06-06-2023,52.349998,52.349998,51.549999,52.049999,51.38662,18736434
07-06-2023,52.150002,52.450001,52.049999,52.349998,51.682793,16129252
08-06-2023,52.450001,52.650002,51.75,51.950001,51.287895,31319973
09-06-2023,52.150002,52.200001,51.200001,51.349998,50.695538,20964121
12-06-2023,51.400002,51.849998,50.950001,51.549999,50.89299,17394733
13-06-2023,51.900002,52.200001,51.549999,52,51.337257,17963382
14-06-2023,52.200001,52.299999,51.650002,51.799999,51.139805,16336696
15-06-2023,51.799999,52.049999,50.200001,50.400002,49.757648,33888122
16-06-2023,50.700001,52.450001,50.5,51.549999,50.89299,96884339
19-06-2023,51.349998,52.5,51.200001,51.950001,51.287895,34057742
20-06-2023,51.849998,52.25,51.450001,51.900002,51.238533,23194150
21-06-2023,52.049999,53.25,51.799999,52.849998,52.176422,52583478
22-06-2023,53.150002,53.200001,50.75,51,50.350002,53046985
23-06-2023,50.799999,50.900002,50.150002,50.5,50.5,28505207
26-06-2023,50.549999,50.599998,49.700001,50.299999,50.299999,23362169
27-06-2023,50.549999,51,50.400002,50.849998,50.849998,19597683
28-06-2023,50.849998,50.849998,50.849998,50.849998,50.849998,0
30-06-2023,50.549999,51.75,50.549999,51.650002,51.650002,29580748
03-07-2023,52,54,52,53.849998,53.849998,68566621
04-07-2023,54.099998,57.599998,53.75,57.049999,57.049999,177088979
05-07-2023,57.349998,59.099998,56.799999,58.599998,58.599998,141211050
06-07-2023,58.349998,59.75,58,59,59,75478926
07-07-2023,58.900002,61,57.549999,60.400002,60.400002,101329144
